Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
Pompei ,,,I.XIII.13,2,--,--,2.4,,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.XXI.2,1,--,--,3.3,,,,--,76,--,76,84,--,--,,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,LA,P,--,--,--,Y,LA ,P,--,--,--,--,--,--,--,--,--,2,--,Y,,,Y,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XXI.2,2,53,31,--,,,,--,83,--,83,93,--,--,,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,U,Y,L,U,Y,--,--,3,Y,--,,,,Y,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XXI.2,3,57,37,--,,,,--,77,--,77,93,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XIV.15,1,48,32,--,,183,calculated,--,--,--,77,--,55,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.XIV.15,2,53,30,--,,270,calculated,--,--,--,70,--,70,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,I.XIV.15,3,52,34,--,,308,calculated,--,--,--,80,--,70,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,--,--,--,--,--,--,--,Distribution,D - unk,Thermapolium,,
Pompei ,,,II.VIII.6,1,72,44,--,,,,125,--,--,--,117,--,--,Large,Spherical,Y,--,--,--,--,--,--,--,--,--,Y,LA,P,--,--,--,Y,B,U,--,--,--,Y,B,U,Y,--,--,4,Y,Y,Y,,Y,Y,Y,,,--,--,?,?,Garden,,
Pompei ,,,II.VIII.6,2,66,41,--,,,,--,90,--,--,90,--,--,,Spherical,Y,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Y,L,P,--,--,--,--,--,--,--,--,--,1,Y,--,,,Y,,,,,--,--,?,?,Garden,,
Pompei ,,,II.VIII.6,3,49,30,--,,,,--,--,--,--,80,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,?,?,Garden,,
